issued_utc,price,1h_est_bp,1h_p_up,1h_confident,1h_lo80_bp,1h_hi80_bp,1h_actual_bp,3h_est_bp,3h_p_up,3h_confident,3h_lo80_bp,3h_hi80_bp,3h_actual_bp,24h_est_bp,24h_p_up,24h_confident,24h_lo80_bp,24h_hi80_bp,24h_actual_bp
2026-06-01T00:14,0.2361,0.8,0.5124,0,-52.7,51.8,-12.7,1.3,0.5314,1,-96.6,92.8,25.4,-1.2,0.5010,0,-194.0,211.3,-240.0
2026-06-01T00:29,0.2366,0.7,0.4997,0,-53.7,52.4,-67.9,1.3,0.5231,1,-97.3,93.5,21.1,-1.4,0.5041,0,-193.9,210.7,-282.9
2026-06-01T00:44,0.237,0.6,0.4911,0,-53.4,52.0,-118.8,1.1,0.5155,0,-96.0,92.0,-8.4,-1.4,0.5008,0,-189.4,205.7,-308.5
2026-06-01T00:59,0.2367,0.7,0.5214,0,-54.0,52.8,-140.4,1.2,0.5290,1,-97.4,93.4,8.4,-1.3,0.5058,0,-192.4,209.1,-300.2
2026-06-01T01:14,0.2358,1.1,0.5402,1,-53.1,52.7,-42.5,1.3,0.5326,1,-96.6,92.8,12.7,-0.9,0.5240,1,-190.6,208.2,-266.5
2026-06-01T01:29,0.235,1.1,0.5552,1,-53.3,53.0,-4.3,1.4,0.5377,1,-95.2,91.8,-8.5,1.2,0.5291,1,-186.3,207.9,-276.1
2026-06-01T01:44,0.2342,1.1,0.5641,1,-54.9,54.5,93.5,1.3,0.5447,1,-96.3,92.7,21.3,1.3,0.5352,1,-188.5,210.4,-259.5
2026-06-01T01:59,0.2334,1.2,0.5700,1,-61.7,61.1,127.7,1.8,0.5473,1,-107.0,103.6,47.0,2.0,0.5447,1,-207.5,232.8,-269.2
2026-06-01T02:14,0.2348,1.1,0.5316,1,-68.1,67.1,80.6,1.6,0.5268,1,-118.2,113.8,-21.3,1.0,0.5267,1,-230.0,255.6,-399.7
2026-06-01T02:29,0.2349,1.1,0.5243,1,-67.2,66.2,93.2,1.6,0.5236,1,-116.9,112.5,-42.7,1.0,0.5253,1,-227.8,253.1,-333.3
