issued_utc,price,1h_est_bp,1h_p_up,1h_confident,1h_lo80_bp,1h_hi80_bp,1h_actual_bp,3h_est_bp,3h_p_up,3h_confident,3h_lo80_bp,3h_hi80_bp,3h_actual_bp,24h_est_bp,24h_p_up,24h_confident,24h_lo80_bp,24h_hi80_bp,24h_actual_bp
2026-07-01T00:14,0.1442,-0.5,0.4921,0,-56.3,56.6,-83.6,-0.7,0.4871,0,-97.9,93.5,199.1,-1.3,0.4971,0,-283.1,232.2,631.5
2026-07-01T00:29,0.1437,-0.0,0.5162,0,-55.9,57.2,0.0,-0.4,0.5025,0,-97.9,94.1,233.8,-1.3,0.5054,0,-284.3,233.2,653.2
2026-07-01T00:44,0.1444,-0.3,0.4738,1,-62.7,63.5,48.4,-0.6,0.4804,1,-109.6,105.1,313.6,-1.0,0.4984,0,-317.8,261.4,558.9
2026-07-01T00:59,0.1445,-0.5,0.4786,1,-61.3,61.7,34.5,-0.5,0.4816,1,-107.0,102.6,340.2,-1.0,0.5001,0,-310.5,255.5,571.6
2026-07-01T01:14,0.143,0.1,0.5239,1,-75.0,76.8,166.4,-0.4,0.5045,0,-129.5,124.7,417.7,-1.5,0.5043,0,-377.2,309.7,734.6
2026-07-01T01:29,0.1437,-0.0,0.4863,0,-78.6,80.3,145.1,-0.5,0.4862,0,-135.9,130.7,581.2,-1.3,0.4990,0,-395.6,325.5,685.8
2026-07-01T01:44,0.1451,-0.8,0.4606,1,-83.7,84.0,96.0,-0.8,0.4716,1,-144.0,138.0,458.0,-0.5,0.4908,0,-418.0,345.4,653.6
2026-07-01T01:59,0.145,-0.7,0.4716,1,-85.0,85.4,102.9,-0.6,0.4865,0,-146.3,140.7,405.5,-1.4,0.4971,0,-426.9,351.1,647.5
2026-07-01T02:14,0.1454,-0.6,0.4518,1,-78.6,79.0,116.2,-0.6,0.4706,1,-134.3,129.0,384.5,-1.7,0.4930,0,-388.6,318.8,607.1
2026-07-01T02:29,0.1458,-1.0,0.4467,1,-77.5,77.3,88.8,-0.9,0.4716,1,-131.2,125.3,383.5,-1.7,0.4879,0,-375.2,307.7,566.6
2026-07-01T02:44,0.1465,-1.2,0.4509,1,-71.0,70.3,169.2,-1.1,0.4708,1,-119.1,113.3,282.7,-0.5,0.4797,1,-335.8,277.3,570.4
2026-07-01T02:59,0.1465,-1.1,0.4472,1,-71.1,70.5,202.7,-1.0,0.4691,1,-118.4,112.7,335.6,-0.5,0.4819,1,-330.9,273.2,544.6
2026-07-01T03:14,0.1471,-1.2,0.4511,1,-78.9,78.2,135.0,-1.1,0.4742,1,-130.3,124.1,268.3,-0.6,0.4808,1,-361.1,298.1,484.3
2026-07-01T03:29,0.1471,-1.2,0.4589,1,-80.0,79.4,347.4,-1.1,0.4796,1,-131.0,124.9,215.2,-0.7,0.4815,1,-360.1,297.1,523.1
2026-07-01T03:44,0.149,-1.4,0.4622,1,-110.5,110.2,192.8,-1.4,0.4798,1,-179.8,171.6,33.5,-0.8,0.4830,1,-492.4,406.5,439.8
2026-07-01T03:59,0.1495,-1.5,0.4766,1,-121.2,120.9,99.8,-1.5,0.4832,0,-195.8,186.7,60.0,-0.8,0.4805,1,-533.8,440.7,444.8
2026-07-01T04:14,0.1491,-1.4,0.4788,1,-122.3,122.2,133.2,-1.5,0.4845,0,-196.1,187.2,80.2,-0.8,0.4818,1,-532.6,439.8,420.3
2026-07-01T04:29,0.1523,-1.7,0.4649,1,-144.7,144.5,-52.7,-1.5,0.4760,1,-229.9,219.9,-132.2,-1.0,0.4886,0,-622.7,514.0,182.2
2026-07-01T04:44,0.1519,-1.5,0.4832,0,-140.0,140.1,-79.3,-1.4,0.4893,0,-220.8,211.4,-132.5,-0.9,0.4763,1,-595.9,492.0,234.2
2026-07-01T04:59,0.151,-1.5,0.4849,0,-142.4,142.5,33.1,-1.7,0.4899,0,-227.5,217.3,-59.8,-0.9,0.4778,1,-610.8,504.5,325.8
2026-07-01T05:14,0.1511,-1.5,0.4807,0,-148.4,148.6,0.0,-1.7,0.4906,0,-235.3,224.8,-33.1,-0.9,0.4779,1,-629.2,519.7,312.7
2026-07-01T05:29,0.1515,-1.3,0.4793,1,-130.4,130.7,-79.5,-0.9,0.4983,0,-208.7,200.6,-139.6,-0.8,0.4849,1,-557.5,460.4,228.4
2026-07-01T05:44,0.1507,-1.2,0.4961,0,-121.7,122.1,-79.9,-1.1,0.5062,0,-197.4,189.3,-39.9,-0.7,0.4865,1,-524.7,433.4,242.6
2026-07-01T05:59,0.1515,-1.2,0.4667,1,-113.4,113.5,-72.9,-0.8,0.4873,0,-185.8,178.6,-52.9,-0.8,0.4835,1,-492.4,406.6,189.6
2026-07-01T06:14,0.1511,-1.0,0.4738,1,-109.4,109.7,-53.1,-0.6,0.4943,0,-181.5,174.6,-33.1,-0.7,0.4840,1,-479.3,395.8,216.0
2026-07-01T06:29,0.1503,-1.3,0.4941,0,-116.9,116.9,0.0,-0.9,0.5069,0,-196.2,188.3,53.1,-0.7,0.4888,0,-515.5,425.8,288.5
2026-07-01T06:44,0.1495,-0.5,0.5025,0,-114.9,116.4,26.7,-0.2,0.5070,0,-193.7,187.4,66.7,-0.7,0.4917,0,-513.9,424.5,412.8
2026-07-01T06:59,0.1504,-0.2,0.4821,0,-117.1,119.3,-20.0,-0.1,0.4947,0,-198.3,192.0,0.0,-0.7,0.4919,0,-529.5,437.4,281.9
2026-07-01T07:14,0.1503,-1.0,0.4922,0,-114.3,114.8,19.9,-0.9,0.5016,0,-193.4,185.7,-20.0,-0.7,0.4925,0,-517.5,427.4,288.5
2026-07-01T07:29,0.1503,-0.5,0.4879,0,-109.1,110.4,-60.1,-0.5,0.4978,0,-185.3,178.6,13.3,-0.7,0.4919,0,-499.7,412.7,301.5
2026-07-01T07:44,0.1499,-0.5,0.4789,1,-107.2,108.6,13.3,-0.4,0.4949,0,-182.4,176.1,53.2,-0.7,0.4949,0,-495.1,409.0,386.0
2026-07-01T07:59,0.1501,-0.2,0.4842,0,-103.9,105.8,39.9,-0.2,0.4975,0,-177.4,171.7,53.2,-0.6,0.4942,0,-485.1,400.7,327.7
2026-07-01T08:14,0.1506,-0.2,0.4723,1,-103.0,104.9,0.0,-0.1,0.4891,0,-176.2,170.5,105.7,-0.6,0.4925,0,-484.6,400.3,339.5
2026-07-01T08:29,0.1494,-0.3,0.5036,0,-104.2,106.0,113.1,-0.2,0.5085,0,-178.5,172.7,126.4,-0.4,0.5021,0,-493.8,408.3,432.3
2026-07-01T08:44,0.1501,-0.2,0.4754,1,-103.4,105.3,26.6,-0.2,0.4907,0,-177.6,171.7,53.2,-0.6,0.4964,0,-494.2,408.4,417.5
2026-07-01T08:59,0.1507,-0.3,0.4697,1,-102.9,104.6,-19.9,-0.2,0.4807,1,-177.0,171.1,6.6,-0.6,0.4911,0,-495.5,409.4,384.0
2026-07-01T09:14,0.1506,-0.3,0.4784,1,-102.7,104.4,-39.9,-0.5,0.4823,0,-177.3,171.0,-6.6,-0.6,0.4914,0,-498.6,412.0,339.5
2026-07-01T09:29,0.1511,-0.3,0.4586,1,-101.6,103.2,-39.8,-0.3,0.4729,1,-172.0,166.1,6.6,-0.6,0.4986,0,-487.1,402.4,344.7
2026-07-01T09:44,0.1505,-0.3,0.4801,0,-95.9,97.3,13.3,-0.3,0.4811,1,-162.5,157.0,72.8,-0.5,0.4918,0,-463.0,382.7,473.7
2026-07-01T09:59,0.1504,-0.3,0.4791,1,-93.9,95.4,33.2,0.0,0.4855,0,-159.3,154.4,79.5,-0.4,0.4919,0,-457.2,378.0,480.3
2026-07-01T10:14,0.15,-0.2,0.4824,0,-94.9,96.5,145.6,-0.0,0.4925,0,-161.5,156.5,145.6,-0.5,0.4964,0,-466.2,385.4,519.6
2026-07-01T10:29,0.1505,-0.5,0.4524,1,-92.3,93.4,53.0,-0.1,0.4591,1,-157.1,152.1,158.2,0.5,0.5007,0,-455.1,377.8,505.3
2026-07-01T10:44,0.1507,-0.7,0.4509,1,-91.6,92.2,13.3,0.0,0.4675,1,-155.7,150.9,118.7,-0.2,0.4993,0,-454.7,376.3,510.9
2026-07-01T10:59,0.1509,-0.3,0.4569,1,-88.9,90.3,-6.6,0.1,0.4771,1,-151.9,147.5,196.9,-0.4,0.4993,0,-447.0,369.7,529.2
2026-07-01T11:14,0.1522,-0.4,0.4364,1,-93.2,94.5,-112.3,0.0,0.4643,1,-156.4,151.7,297.8,-0.6,0.4916,0,-462.9,382.4,462.2
2026-07-01T11:29,0.1513,-0.4,0.4696,1,-94.8,96.2,-6.6,0.1,0.4796,1,-159.4,154.6,209.3,-0.4,0.4929,0,-474.4,392.3,521.5
2026-07-01T11:44,0.1509,-0.3,0.4775,1,-94.6,96.1,46.3,-0.1,0.4842,0,-159.6,154.5,261.6,-0.5,0.4962,0,-477.5,394.7,579.3
2026-07-01T11:59,0.1508,-0.3,0.4728,1,-92.8,94.2,52.9,-0.1,0.4823,0,-156.9,151.9,319.8,-0.2,0.4972,0,-471.8,390.5,573.4
2026-07-01T12:14,0.1505,-0.3,0.4865,0,-87.8,89.3,112.3,0.1,0.4903,0,-145.7,141.5,378.1,-0.2,0.4997,0,-441.5,365.4,686.8
2026-07-01T12:29,0.1512,-0.3,0.4601,1,-83.5,84.6,111.8,-0.1,0.4726,1,-138.8,134.4,376.4,-0.5,0.4952,0,-422.8,349.4,596.9
