issued_utc,price,1h_est_bp,1h_p_up,1h_confident,1h_lo80_bp,1h_hi80_bp,1h_actual_bp,3h_est_bp,3h_p_up,3h_confident,3h_lo80_bp,3h_hi80_bp,3h_actual_bp,24h_est_bp,24h_p_up,24h_confident,24h_lo80_bp,24h_hi80_bp,24h_actual_bp
2025-09-27T00:14,0.7901,-0.4,0.4835,1,-66.5,63.4,15.2,-0.9,0.4824,1,-120.9,108.4,2.5,-0.8,0.4834,1,-376.0,326.2,-154.3
2025-09-27T00:29,0.7911,-0.4,0.4838,1,-66.5,63.3,-17.7,-0.8,0.4855,1,-120.7,108.4,27.8,-0.3,0.4834,1,-375.1,326.4,-119.5
2025-09-27T00:44,0.7913,-0.5,0.4773,1,-65.8,62.5,-17.7,-0.9,0.4780,1,-119.3,107.1,30.3,0.1,0.4796,1,-370.2,322.9,-137.4
2025-09-27T00:59,0.7923,-0.5,0.4807,1,-65.3,62.0,-25.3,-0.9,0.4821,1,-118.4,106.2,0.0,-1.4,0.4836,1,-368.7,318.9,-177.0
2025-09-27T01:14,0.7913,-0.4,0.4817,1,-64.7,61.6,-5.1,-0.7,0.4845,1,-117.8,106.0,-3.8,-1.3,0.4855,1,-367.5,317.8,-197.8
2025-09-27T01:29,0.7897,-0.2,0.4953,0,-63.6,60.9,-1.3,-0.5,0.4946,0,-116.4,105.1,41.7,-1.3,0.4892,1,-363.7,314.6,-175.0
2025-09-27T01:44,0.7899,-0.3,0.4922,0,-63.1,60.3,15.2,-0.3,0.4944,0,-115.6,104.8,27.8,-1.3,0.4873,1,-361.8,313.0,-215.0
2025-09-27T01:59,0.7903,-0.3,0.4892,0,-61.8,59.0,-13.9,-0.3,0.4933,0,-113.6,102.9,17.7,-1.3,0.4875,1,-355.5,307.5,-217.5
2025-09-27T02:14,0.7909,-0.4,0.4827,1,-60.8,57.8,-7.6,-0.5,0.4826,1,-112.2,101.3,-20.3,-0.8,0.4853,1,-350.1,303.7,-219.9
2025-09-27T02:29,0.7896,-0.4,0.4925,0,-61.2,58.2,46.7,-0.4,0.4853,1,-113.3,102.5,-2.5,-0.8,0.4869,1,-353.8,307.0,-176.3
2025-09-27T02:44,0.7911,-0.5,0.4851,1,-61.0,57.9,32.8,-0.3,0.4763,1,-113.2,102.6,-1.3,-0.8,0.4797,1,-353.8,307.0,-214.6
2025-09-27T02:59,0.7892,-0.3,0.4930,0,-60.7,58.0,39.2,-0.4,0.4862,1,-113.6,102.8,26.6,-0.8,0.4873,1,-354.8,307.7,-184.1
2025-09-27T03:14,0.7903,-0.4,0.4877,1,-61.2,58.2,8.9,-0.8,0.4878,1,-114.8,103.2,-10.1,-0.6,0.4854,1,-358.0,310.9,-189.0
