issued_utc,price,1h_est_bp,1h_p_up,1h_confident,1h_lo80_bp,1h_hi80_bp,1h_actual_bp,3h_est_bp,3h_p_up,3h_confident,3h_lo80_bp,3h_hi80_bp,3h_actual_bp,24h_est_bp,24h_p_up,24h_confident,24h_lo80_bp,24h_hi80_bp,24h_actual_bp
2026-04-01T00:14,0.2422,-0.6,0.4668,1,-77.1,83.7,102.7,0.4,0.4826,1,-128.0,138.0,86.3,2.4,0.4938,0,-450.7,509.8,248.7
2026-04-01T00:29,0.2421,-0.6,0.4806,1,-77.7,84.3,49.4,0.1,0.4876,0,-129.4,139.1,57.7,2.2,0.4936,0,-455.6,514.9,228.7
2026-04-01T00:44,0.2424,-0.2,0.4727,1,-76.5,83.9,37.1,0.2,0.4863,0,-128.4,138.1,114.8,2.2,0.4938,0,-452.6,511.5,328.7
2026-04-01T00:59,0.2446,0.2,0.4553,1,-85.8,94.9,-82.1,0.1,0.4787,1,-142.1,152.6,40.8,2.6,0.4935,0,-500.9,566.4,226.4
2026-04-01T01:14,0.2447,0.4,0.4708,1,-82.9,92.2,-77.9,2.2,0.4813,1,-133.2,147.4,8.2,2.4,0.4953,0,-477.5,539.7,146.0
2026-04-01T01:29,0.2433,0.6,0.4903,0,-83.1,92.8,-53.6,1.2,0.4920,0,-135.0,147.3,73.7,2.3,0.4950,0,-481.0,543.5,45.1
2026-04-01T01:44,0.2433,0.7,0.4926,0,-81.9,91.7,-37.1,1.2,0.4942,0,-133.6,145.7,77.8,2.2,0.4949,0,-476.4,538.2,-57.7
2026-04-01T01:59,0.2426,1.0,0.5274,1,-73.1,82.7,-24.8,0.7,0.5091,0,-120.5,130.7,86.2,1.9,0.4930,0,-428.9,484.2,20.6
2026-04-01T02:14,0.2428,0.9,0.5041,0,-73.4,82.8,61.6,1.2,0.4985,0,-120.5,131.7,106.5,1.9,0.4962,0,-431.1,486.7,-70.3
2026-04-01T02:29,0.242,0.9,0.5210,1,-73.1,82.5,61.8,1.1,0.5096,0,-120.5,131.4,216.6,1.9,0.4986,0,-430.9,486.5,-70.5
2026-04-01T02:44,0.2424,0.5,0.4914,0,-73.5,82.0,114.8,1.1,0.4976,0,-120.6,131.6,220.3,1.9,0.4957,0,-431.9,487.7,-116.2
2026-04-01T02:59,0.242,0.7,0.4979,0,-72.7,81.5,147.7,0.6,0.4991,0,-120.4,130.3,285.2,2.0,0.4952,0,-429.7,485.4,-58.0
2026-04-01T03:14,0.2443,0.3,0.4566,1,-84.8,94.1,24.5,1.3,0.4708,1,-139.2,152.0,357.8,2.3,0.4870,1,-499.7,564.3,-177.6
2026-04-01T03:29,0.2435,0.5,0.4752,1,-82.9,92.3,65.5,1.1,0.4796,1,-136.9,149.0,347.1,2.3,0.4878,1,-491.1,554.7,-99.1
2026-04-01T03:44,0.2452,0.3,0.4452,1,-90.5,100.3,0.0,2.4,0.4662,1,-145.0,160.6,301.3,2.4,0.4882,0,-525.5,593.5,-264.5
2026-04-01T03:59,0.2456,0.4,0.4512,1,-96.4,107.0,-36.7,2.6,0.4676,1,-151.8,168.2,257.2,2.5,0.4863,1,-550.7,622.0,-268.2
2026-04-01T04:14,0.2449,0.8,0.4762,1,-87.4,98.1,20.4,2.3,0.4805,1,-138.8,153.6,309.6,2.3,0.4898,0,-503.8,569.0,-260.6
2026-04-01T04:29,0.2451,0.6,0.4760,1,-87.9,98.1,89.4,2.5,0.4805,1,-139.3,154.6,253.8,2.3,0.4895,0,-506.8,572.4,-302.4
2026-04-01T04:44,0.2452,0.6,0.4763,1,-81.8,91.4,105.5,2.3,0.4771,1,-130.0,144.2,237.8,2.2,0.4851,1,-473.3,534.5,-335.9
2026-04-01T04:59,0.2447,0.9,0.4839,0,-77.5,87.2,174.2,2.1,0.4896,0,-123.9,137.3,206.3,2.2,0.4850,1,-451.2,510.0,-311.3
2026-04-01T05:14,0.2454,0.4,0.4459,1,-76.8,85.4,312.9,2.2,0.4722,1,-122.2,135.6,97.3,2.2,0.4856,1,-445.8,503.8,-361.0
2026-04-01T05:29,0.2473,0.2,0.4454,1,-84.4,93.5,192.2,2.8,0.4679,1,-135.4,150.9,40.4,2.4,0.4828,1,-490.6,554.4,-404.3
2026-04-01T05:44,0.2478,0.2,0.4491,1,-86.9,96.1,195.8,2.8,0.4714,1,-138.1,153.9,24.2,2.4,0.4809,1,-496.0,560.5,-407.7
2026-04-01T05:59,0.249,0.0,0.4578,1,-94.8,104.6,119.8,3.1,0.4783,1,-149.2,166.4,-88.7,2.5,0.4821,1,-531.3,600.3,-451.8
2026-04-01T06:14,0.2532,0.2,0.4735,1,-128.4,141.8,-23.7,4.3,0.4889,0,-200.5,223.9,-223.7,3.4,0.4847,1,-708.1,800.0,-644.3
2026-04-01T06:29,0.2521,1.1,0.4978,0,-126.0,141.3,-27.8,4.7,0.4861,0,-196.2,220.2,-180.1,3.7,0.4881,0,-688.0,778.3,-571.4
2026-04-01T06:44,0.2527,1.3,0.4933,0,-130.5,146.4,-63.5,4.8,0.4872,0,-201.8,226.3,-220.1,3.9,0.4889,0,-700.8,792.9,-624.6
2026-04-01T06:59,0.252,0.9,0.4921,0,-129.1,144.1,-87.7,4.3,0.4839,1,-197.8,221.0,-168.1,3.8,0.4869,1,-679.6,768.9,-563.2
2026-04-01T07:14,0.2526,1.6,0.4683,1,-99.1,112.6,-191.9,3.7,0.4806,1,-154.8,173.6,-191.9,3.1,0.4825,1,-527.9,597.7,-599.6
2026-04-01T07:29,0.2514,1.5,0.4966,0,-98.0,111.2,-124.1,3.6,0.4850,1,-154.9,173.6,-128.1,3.0,0.4837,1,-523.4,592.6,-556.2
2026-04-01T07:44,0.2511,1.8,0.5038,0,-93.7,107.0,-108.1,3.4,0.4881,0,-150.5,168.4,-96.0,2.9,0.4814,1,-503.5,570.0,-519.0
2026-04-01T07:59,0.2498,1.6,0.5156,0,-92.6,105.4,-120.8,3.2,0.4903,0,-150.5,168.0,-32.1,2.7,0.4820,1,-498.5,563.9,-442.0
2026-04-01T08:14,0.2478,1.2,0.5199,1,-99.1,111.7,-8.1,2.8,0.4948,0,-157.9,175.1,20.2,2.8,0.4824,1,-521.8,590.3,-353.2
2026-04-01T08:29,0.2483,1.1,0.5016,0,-100.2,112.8,-28.2,2.2,0.4885,0,-157.3,173.3,-24.2,2.9,0.4849,1,-518.4,586.6,-377.6
2026-04-01T08:44,0.2484,1.1,0.4988,0,-101.7,114.4,-48.4,1.9,0.4872,0,-157.0,172.3,-28.2,3.1,0.4835,1,-516.8,585.2,-415.1
2026-04-01T08:59,0.2468,1.4,0.5106,0,-107.5,121.5,40.4,1.4,0.4940,0,-164.0,178.7,56.6,3.3,0.4871,1,-538.3,609.6,-354.7
2026-04-01T09:14,0.2476,-0.2,0.4783,1,-105.7,116.1,8.1,0.0,0.4747,1,-162.1,174.0,16.1,2.9,0.4885,0,-523.3,592.2,-399.6
2026-04-01T09:29,0.2476,0.3,0.4813,0,-104.0,115.3,24.2,1.3,0.4838,1,-159.3,173.6,44.3,2.9,0.4884,0,-518.9,587.3,-382.8
2026-04-01T09:44,0.2472,0.2,0.4923,0,-106.2,117.5,60.5,-0.8,0.4823,1,-166.6,177.0,136.6,2.9,0.4889,0,-530.9,600.6,-358.3
2026-04-01T09:59,0.2478,-0.1,0.4633,1,-102.0,112.2,48.3,-0.5,0.4718,1,-159.6,170.1,20.2,2.8,0.4861,1,-509.8,576.8,-390.9
2026-04-01T10:14,0.2478,-0.1,0.4729,1,-99.1,108.9,20.2,-0.1,0.4737,1,-156.4,167.6,16.1,2.6,0.4822,1,-496.7,561.8,-437.2
2026-04-01T10:29,0.2482,-0.4,0.4544,1,-99.6,109.0,-20.2,0.0,0.4713,1,-157.1,168.6,16.1,2.6,0.4826,1,-499.8,565.3,-428.0
2026-04-01T10:44,0.2487,-0.2,0.4519,1,-97.0,106.5,-40.3,1.1,0.4669,1,-152.5,165.9,-92.9,2.6,0.4809,1,-489.0,553.0,-456.6
2026-04-01T10:59,0.249,-0.1,0.4618,1,-95.6,105.1,-32.2,2.3,0.4692,1,-149.5,165.1,-80.6,2.5,0.4802,1,-483.7,547.1,-468.6
