issued_utc,price,1h_est_bp,1h_p_up,1h_confident,1h_lo80_bp,1h_hi80_bp,1h_actual_bp,3h_est_bp,3h_p_up,3h_confident,3h_lo80_bp,3h_hi80_bp,3h_actual_bp,24h_est_bp,24h_p_up,24h_confident,24h_lo80_bp,24h_hi80_bp,24h_actual_bp
2026-05-01T00:14,0.2469,-0.3,0.4484,1,-39.6,37.7,8.1,0.0,0.4706,1,-68.0,74.8,24.3,-0.1,0.4759,1,-181.2,167.3,40.4
2026-05-01T00:29,0.2464,0.4,0.4919,0,-40.1,39.4,20.3,0.6,0.4886,0,-69.5,77.5,113.0,0.0,0.4771,1,-186.7,172.6,52.6
2026-05-01T00:44,0.2467,0.4,0.4695,1,-40.4,39.9,12.2,0.8,0.4827,1,-70.1,78.8,92.8,0.0,0.4844,0,-189.3,175.0,60.6
2026-05-01T00:59,0.2464,0.4,0.5035,0,-41.6,40.8,36.5,0.8,0.4972,0,-72.1,81.0,96.9,0.6,0.4845,0,-194.3,180.6,80.8
2026-05-01T01:14,0.2471,0.4,0.4743,1,-42.1,41.4,4.0,1.0,0.4880,0,-73.2,82.4,96.7,0.0,0.4829,0,-198.2,183.2,60.5
2026-05-01T01:29,0.2469,0.5,0.4734,1,-41.0,40.4,0.0,1.0,0.4847,0,-71.4,80.4,68.6,0.5,0.4826,1,-193.2,179.4,56.5
2026-05-01T01:44,0.247,0.4,0.4640,1,-40.4,39.7,8.1,0.9,0.4817,1,-70.4,79.2,84.7,0.1,0.4797,1,-190.9,176.5,56.5
2026-05-01T01:59,0.2473,0.4,0.4509,1,-39.6,38.9,0.0,0.9,0.4762,1,-69.2,77.9,56.5,0.2,0.4794,1,-187.7,173.9,32.3
2026-05-01T02:14,0.2472,0.7,0.4766,1,-38.0,37.9,12.1,0.9,0.4934,0,-67.0,75.5,100.6,0.0,0.4740,1,-182.3,168.5,32.3
2026-05-01T02:29,0.2469,0.7,0.4805,0,-37.9,38.0,92.7,0.9,0.4963,0,-67.1,75.6,88.7,0.0,0.4739,1,-182.8,168.9,48.5
2026-05-01T02:44,0.2472,-0.1,0.4549,1,-38.3,36.8,72.6,0.1,0.4751,1,-67.4,74.2,76.6,0.1,0.4713,1,-181.3,167.8,36.3
2026-05-01T02:59,0.2473,0.2,0.4602,1,-37.2,36.2,60.5,0.3,0.4833,0,-65.7,72.9,56.5,0.1,0.4744,1,-177.8,164.4,36.3
2026-05-01T03:14,0.2475,0.0,0.4417,1,-37.8,36.5,80.5,0.1,0.4736,1,-66.8,73.6,64.4,0.3,0.4728,1,-180.1,166.9,16.1
