issued_utc,price,1h_est_bp,1h_p_up,1h_confident,1h_lo80_bp,1h_hi80_bp,1h_actual_bp,3h_est_bp,3h_p_up,3h_confident,3h_lo80_bp,3h_hi80_bp,3h_actual_bp,24h_est_bp,24h_p_up,24h_confident,24h_lo80_bp,24h_hi80_bp,24h_actual_bp
2025-10-01T00:14,0.8084,-0.4,0.4961,0,-71.5,69.9,-3.7,-0.6,0.4940,0,-130.4,130.7,-57.1,-1.0,0.4878,1,-320.4,301.9,555.8
2025-10-01T00:29,0.8038,0.0,0.5069,0,-70.7,70.0,28.6,-0.4,0.5069,0,-129.8,130.6,-18.7,-1.0,0.4981,0,-319.9,301.5,592.9
2025-10-01T00:44,0.802,0.1,0.5112,1,-71.2,70.8,90.6,-0.3,0.5097,1,-131.1,132.1,-25.0,-1.0,0.5014,0,-323.6,305.1,593.0
2025-10-01T00:59,0.8071,-0.2,0.4956,0,-74.3,73.0,49.4,-0.5,0.4945,0,-136.6,137.1,-112.1,-1.1,0.4925,0,-336.9,317.5,506.1
2025-10-01T01:14,0.8081,-0.4,0.4975,0,-72.4,70.9,6.2,-0.5,0.4950,0,-133.1,133.6,-80.8,-1.0,0.4940,0,-328.7,309.8,518.4
2025-10-01T01:29,0.8061,-0.4,0.4998,0,-72.0,70.6,27.3,-0.4,0.4968,0,-132.7,133.4,-9.9,-1.0,0.4974,0,-328.1,309.3,560.8
2025-10-01T01:44,0.8093,-0.7,0.4858,1,-74.9,72.8,-44.6,-0.9,0.4817,1,-135.5,135.2,-80.6,-1.0,0.4870,1,-334.2,315.0,541.1
2025-10-01T01:59,0.8111,-0.7,0.4845,1,-73.3,71.1,-70.5,-0.8,0.4843,1,-132.6,132.5,-129.1,-1.0,0.4874,1,-327.5,308.7,565.6
2025-10-01T02:14,0.8086,-0.4,0.4967,0,-72.8,71.2,-59.5,-0.6,0.4963,0,-132.4,132.6,-54.6,-1.1,0.4929,0,-327.8,308.9,574.3
2025-10-01T02:29,0.8083,-0.6,0.4938,0,-70.4,68.5,-74.5,-0.9,0.4929,0,-128.2,127.9,-64.5,-1.0,0.4953,0,-317.1,298.8,568.7
2025-10-01T02:44,0.8057,-0.4,0.5049,0,-67.6,66.1,-71.0,-1.1,0.5069,0,-123.9,123.1,-8.7,-1.0,0.5041,0,-306.1,288.5,637.1
2025-10-01T02:59,0.8054,-0.4,0.5036,0,-65.1,63.6,-91.1,-1.0,0.5070,0,-119.3,118.8,-23.6,-1.0,0.5010,0,-295.5,278.4,631.5
2025-10-01T03:14,0.8038,-0.0,0.5063,0,-63.2,62.5,-27.4,-0.1,0.5074,0,-115.9,117.1,1.2,-0.8,0.5105,0,-289.3,272.7,659.5
2025-10-01T03:29,0.8023,0.1,0.5057,0,-65.6,65.2,37.3,0.2,0.5037,0,-118.3,120.0,2.5,-0.9,0.5122,1,-296.2,279.3,659.6
2025-10-01T03:44,0.8,0.1,0.5072,0,-66.9,66.5,34.9,0.1,0.5095,1,-118.6,120.0,38.7,-0.8,0.5154,1,-296.8,280.0,681.3
2025-10-01T03:59,0.7981,0.2,0.5145,1,-69.8,69.5,32.5,0.1,0.5084,0,-121.6,123.1,12.5,-0.8,0.5127,1,-304.8,287.5,687.5
2025-10-01T04:14,0.8016,-0.0,0.5059,0,-74.4,73.6,32.4,0.1,0.5010,0,-129.4,131.0,3.7,-0.9,0.5073,0,-324.8,306.2,656.6
2025-10-01T04:29,0.8053,-0.3,0.4979,0,-76.0,74.7,-27.4,-0.2,0.4921,0,-132.4,133.4,-9.9,-0.8,0.4996,0,-331.5,313.0,561.4
2025-10-01T04:44,0.8028,-0.1,0.5033,0,-75.6,74.8,27.4,-0.1,0.4997,0,-132.3,133.5,36.1,-0.7,0.5073,0,-331.8,313.4,597.2
2025-10-01T04:59,0.8007,-0.2,0.5047,0,-75.1,74.0,34.9,-0.5,0.5030,0,-131.8,132.3,49.8,-1.0,0.5058,0,-330.2,311.4,651.5
2025-10-01T05:14,0.8042,-0.1,0.5018,0,-73.0,72.0,-3.7,-0.3,0.4973,0,-128.2,129.1,9.9,0.3,0.5030,0,-320.8,304.9,603.2
2025-10-01T05:29,0.8031,0.1,0.5069,0,-70.8,70.3,-7.5,-0.1,0.5046,0,-124.8,126.1,83.1,0.3,0.5068,0,-313.2,297.7,641.4
2025-10-01T05:44,0.805,-0.1,0.4977,0,-70.4,69.5,-23.6,-0.1,0.4992,0,-124.1,125.2,252.7,0.3,0.5047,0,-311.4,295.9,603.8
2025-10-01T05:59,0.8035,0.1,0.4971,0,-68.5,68.0,-54.9,0.2,0.4998,0,-120.9,122.7,312.4,0.3,0.5091,0,-304.6,289.5,609.5
2025-10-01T06:14,0.8039,0.1,0.4976,0,-64.8,64.3,-24.9,0.2,0.4992,0,-114.7,116.4,344.8,0.2,0.5088,0,-289.3,274.9,602.2
2025-10-01T06:29,0.8025,-0.1,0.4997,0,-64.3,63.6,24.9,-0.1,0.5063,0,-114.1,115.1,377.8,0.3,0.5105,0,-287.2,272.9,646.6
2025-10-01T06:44,0.8031,0.1,0.5011,0,-62.5,62.0,32.3,-0.2,0.5051,0,-111.4,112.2,375.1,0.3,0.5076,0,-280.5,266.6,699.6
2025-10-01T06:59,0.7991,0.1,0.5026,0,-64.7,64.3,69.8,0.1,0.5077,0,-115.3,116.8,422.7,-0.6,0.5154,1,-292.4,276.1,741.4
2025-10-01T07:14,0.8019,-0.2,0.4966,0,-65.6,64.5,38.6,-0.1,0.4971,0,-116.8,117.8,340.8,-0.7,0.5055,0,-295.8,279.3,699.5
2025-10-01T07:29,0.8045,-0.5,0.4921,0,-65.7,64.0,65.7,-0.9,0.4882,1,-117.4,116.9,338.5,0.2,0.4997,0,-295.0,280.1,629.8
2025-10-01T07:44,0.8057,-0.5,0.4861,1,-65.4,63.8,244.0,-0.5,0.4857,1,-116.8,117.1,332.0,0.2,0.4964,0,-294.6,280.0,603.3
2025-10-01T07:59,0.8047,-0.2,0.4770,1,-63.2,62.2,297.5,0.1,0.4881,1,-110.8,112.2,321.6,0.3,0.5020,0,-281.1,267.2,597.0
2025-10-01T08:14,0.805,-0.5,0.4822,1,-63.2,61.6,331.1,-0.4,0.4817,1,-110.9,111.4,394.6,0.3,0.5040,0,-280.5,266.7,600.3
2025-10-01T08:29,0.8098,-0.2,0.4686,1,-71.3,70.1,287.3,-0.1,0.4654,1,-123.1,124.3,322.0,0.2,0.4914,0,-312.5,296.9,557.2
2025-10-01T08:44,0.8256,-0.6,0.4583,1,-111.3,108.9,98.8,-0.3,0.4660,1,-190.3,191.9,103.6,0.5,0.4889,0,-480.8,457.0,367.4
