issued_utc,price,1h_est_bp,1h_p_up,1h_confident,1h_lo80_bp,1h_hi80_bp,1h_actual_bp,3h_est_bp,3h_p_up,3h_confident,3h_lo80_bp,3h_hi80_bp,3h_actual_bp,24h_est_bp,24h_p_up,24h_confident,24h_lo80_bp,24h_hi80_bp,24h_actual_bp
2026-01-01T00:14,0.3338,1.4,0.5447,1,-55.1,56.4,41.9,1.3,0.5850,1,-115.2,115.8,-18.0,1.9,0.4997,0,-341.8,432.8,669.1
2026-01-01T00:29,0.3349,1.2,0.5333,1,-55.2,56.3,-26.9,1.2,0.5698,1,-115.5,115.9,-44.9,1.9,0.4989,0,-344.4,436.1,619.4
2026-01-01T00:44,0.3344,1.3,0.5512,1,-54.5,55.6,-21.0,1.1,0.5847,1,-114.4,114.6,-24.0,1.9,0.4989,0,-343.0,434.3,609.1
2026-01-01T00:59,0.334,1.4,0.5714,1,-53.7,55.2,-24.0,1.2,0.5933,1,-113.2,113.7,-39.0,1.9,0.4996,0,-341.9,432.9,643.5
2026-01-01T01:14,0.3352,1.3,0.5441,1,-55.4,56.5,-44.8,1.3,0.5795,1,-116.6,117.1,-83.9,1.9,0.4989,0,-354.3,448.4,593.6
2026-01-01T01:29,0.334,1.5,0.5738,1,-55.6,57.1,-30.0,1.2,0.5974,1,-117.7,118.0,-36.0,2.0,0.4994,0,-359.6,455.2,674.3
2026-01-01T01:44,0.3337,1.5,0.5657,1,-56.9,58.4,-24.0,1.3,0.5952,1,-120.6,121.0,-42.0,2.0,0.4999,0,-370.7,469.3,669.3
2026-01-01T01:59,0.3332,1.5,0.5833,1,-55.8,57.3,-12.0,1.4,0.6010,1,-118.4,119.1,-21.0,2.0,0.4998,0,-366.6,464.1,670.3
2026-01-01T02:14,0.3337,1.4,0.5746,1,-53.6,55.1,-15.0,1.1,0.6001,1,-114.2,114.5,9.0,1.9,0.4998,0,-355.2,449.7,649.7
2026-01-01T02:29,0.333,1.6,0.6008,1,-52.0,53.7,12.0,1.3,0.6076,1,-111.1,111.8,62.9,1.9,0.5001,0,-348.2,440.8,665.1
2026-01-01T02:44,0.3329,1.6,0.5943,1,-49.8,51.7,21.0,1.5,0.6058,1,-106.7,107.9,116.5,1.8,0.5002,0,-337.3,426.8,698.9
2026-01-01T02:59,0.3328,1.5,0.5879,1,-49.0,50.7,-3.0,1.5,0.5991,1,-104.9,106.1,116.5,1.8,0.4999,0,-333.6,422.3,735.5
2026-01-01T03:14,0.3332,1.4,0.5718,1,-48.4,49.9,-24.0,1.4,0.5912,1,-103.7,104.7,92.6,1.8,0.4998,0,-331.4,419.5,773.6
2026-01-01T03:29,0.3334,1.3,0.5577,1,-48.0,49.4,-18.0,1.1,0.5763,1,-103.3,103.7,95.5,1.8,0.4998,0,-331.3,419.3,753.7
2026-01-01T03:44,0.3336,1.3,0.5466,1,-47.4,48.8,-39.0,1.4,0.5750,1,-102.0,103.0,83.6,1.7,0.5001,0,-330.1,417.7,800.4
2026-01-01T03:59,0.3327,1.5,0.5762,1,-47.3,49.1,-6.0,1.5,0.5921,1,-102.2,103.3,110.6,1.8,0.5003,0,-333.0,421.4,849.6
2026-01-01T04:14,0.3324,1.5,0.5617,1,-47.4,49.1,48.0,1.0,0.5903,1,-103.1,103.3,155.2,1.8,0.4999,0,-336.3,425.7,853.1
2026-01-01T04:29,0.3328,1.5,0.5471,1,-46.8,48.5,68.9,1.0,0.5846,1,-101.9,102.2,95.7,1.8,0.4998,0,-334.5,423.4,777.3
2026-01-01T04:44,0.3323,1.4,0.5609,1,-46.5,48.1,134.5,1.0,0.5913,1,-101.4,101.6,128.6,1.8,0.4999,0,-334.9,423.8,792.3
2026-01-01T04:59,0.3325,1.4,0.5470,1,-46.1,47.6,125.5,1.0,0.5857,1,-100.6,100.9,119.6,1.8,0.5000,0,-334.3,423.1,791.9
2026-01-01T05:14,0.334,1.2,0.5223,1,-48.2,49.4,68.6,1.1,0.5629,1,-104.9,105.4,83.5,1.8,0.4993,0,-351.0,444.1,730.2
2026-01-01T05:29,0.3351,1.2,0.5259,1,-52.0,53.0,44.7,1.2,0.5540,1,-110.8,111.4,62.5,1.9,0.4989,1,-373.1,472.1,644.3
2026-01-01T05:44,0.3368,0.6,0.5148,0,-58.3,57.9,-11.9,1.0,0.5525,1,-122.1,122.0,5.9,-0.1,0.4984,1,-410.4,514.3,616.0
2026-01-01T05:59,0.3367,0.5,0.5309,1,-60.4,59.8,-8.9,0.7,0.5572,1,-125.7,124.9,44.5,-0.2,0.4986,1,-419.7,525.7,619.0
2026-01-01T06:14,0.3363,0.6,0.5333,1,-59.3,59.0,38.6,0.8,0.5599,1,-121.4,120.8,112.4,1.1,0.4989,1,-406.9,512.5,616.9
2026-01-01T06:29,0.3366,0.3,0.5223,1,-56.9,56.0,-17.8,0.5,0.5557,1,-116.2,115.1,88.7,1.0,0.4987,1,-391.0,492.5,630.3
