issued_utc,price,1h_est_bp,1h_p_up,1h_confident,1h_lo80_bp,1h_hi80_bp,1h_actual_bp,3h_est_bp,3h_p_up,3h_confident,3h_lo80_bp,3h_hi80_bp,3h_actual_bp,24h_est_bp,24h_p_up,24h_confident,24h_lo80_bp,24h_hi80_bp,24h_actual_bp
2025-12-01T00:14,0.4024,-2.6,0.5396,1,-164.8,146.8,-256.7,-1.3,0.5522,1,-273.5,208.1,-367.0,0.1,0.5063,0,-638.5,529.3,-421.3
2025-12-01T00:29,0.3977,-2.6,0.5368,1,-176.1,157.2,-182.7,-1.0,0.5363,1,-289.8,221.1,-283.1,0.1,0.5064,0,-674.6,559.3,-301.2
2025-12-01T00:44,0.3935,-2.6,0.5408,1,-184.7,165.1,-56.1,-1.1,0.5560,1,-301.8,230.2,-158.8,0.3,0.5085,0,-699.4,580.3,-202.8
2025-12-01T00:59,0.3881,-1.2,0.5598,1,-193.4,175.8,46.3,-1.1,0.5507,1,-316.0,241.1,-49.1,0.4,0.5116,1,-729.3,605.2,-25.8
2025-12-01T01:14,0.3922,-0.9,0.5369,1,-158.0,143.7,-23.0,-0.7,0.5353,1,-256.0,195.7,-167.1,0.2,0.5057,0,-589.2,488.7,-99.9
2025-12-01T01:29,0.3905,-0.5,0.5573,1,-152.6,139.6,2.6,-0.5,0.5404,1,-245.7,188.1,-167.9,0.2,0.5084,0,-563.6,467.5,-82.3
2025-12-01T01:44,0.3913,-0.4,0.5489,1,-149.8,137.3,17.9,-0.3,0.5318,1,-244.1,187.3,-172.7,0.2,0.5083,0,-558.3,463.0,-113.1
2025-12-01T01:59,0.3899,-0.1,0.5441,1,-139.6,128.3,5.1,-0.1,0.5348,1,-230.4,177.1,-144.7,0.2,0.5108,1,-525.2,435.7,-87.6
2025-12-01T02:14,0.3913,0.2,0.5480,1,-124.5,115.2,-87.3,0.1,0.5427,1,-208.5,160.5,-183.1,0.3,0.5125,1,-473.6,393.0,-95.0
2025-12-01T02:29,0.3906,0.1,0.5453,1,-121.0,111.7,-102.9,-0.1,0.5358,1,-205.0,157.5,-126.2,0.2,0.5118,1,-463.5,384.5,-5.1
2025-12-01T02:44,0.392,-1.2,0.5022,0,-119.7,108.0,-120.6,-0.4,0.5066,0,-203.4,155.7,-221.8,0.1,0.5082,0,-457.3,379.1,-58.8
2025-12-01T02:59,0.3901,-0.2,0.5398,1,-123.8,113.6,-100.5,-0.4,0.5297,0,-214.5,164.3,-142.0,0.1,0.5123,1,-480.5,398.5,-43.7
2025-12-01T03:14,0.3879,-0.3,0.5509,1,-123.6,113.3,-56.9,-0.5,0.5535,1,-216.7,165.8,-88.0,0.2,0.5144,1,-483.2,400.8,2.6
