issued_utc,price,1h_est_bp,1h_p_up,1h_confident,1h_lo80_bp,1h_hi80_bp,1h_actual_bp,3h_est_bp,3h_p_up,3h_confident,3h_lo80_bp,3h_hi80_bp,3h_actual_bp,24h_est_bp,24h_p_up,24h_confident,24h_lo80_bp,24h_hi80_bp,24h_actual_bp
2025-11-01T00:14,0.6079,-0.0,0.4988,0,-77.8,71.6,27.9,-0.3,0.5167,0,-130.6,125.1,24.6,-3.2,0.5042,0,-461.7,353.7,72.1
2025-11-01T00:29,0.6076,-0.1,0.5088,0,-76.9,70.7,32.9,-0.3,0.5178,0,-129.2,123.9,47.6,-3.2,0.5041,0,-457.5,350.5,41.1
2025-11-01T00:44,0.6069,-0.0,0.5166,1,-75.7,69.6,21.4,-0.2,0.5275,1,-127.5,122.2,90.2,-3.2,0.5100,0,-451.8,346.1,67.3
2025-11-01T00:59,0.6084,0.2,0.5076,0,-76.3,70.6,-36.2,-0.2,0.5226,1,-129.2,123.9,67.2,-2.1,0.4980,0,-457.3,352.3,26.3
2025-11-01T01:14,0.6096,0.2,0.5054,0,-76.5,70.9,-84.0,-0.2,0.5309,1,-129.8,124.5,22.9,-2.9,0.4909,0,-460.7,353.6,9.8
2025-11-01T01:29,0.6096,0.2,0.5061,0,-78.1,72.3,-49.3,-0.2,0.5259,1,-132.8,127.3,34.4,-2.7,0.4926,0,-471.5,362.2,16.4
2025-11-01T01:44,0.6082,0.2,0.5099,0,-78.1,72.2,-18.1,-0.1,0.5081,0,-132.8,127.6,59.0,-3.3,0.4994,0,-473.0,362.5,34.5
2025-11-01T01:59,0.6062,0.0,0.5211,1,-76.5,70.5,36.2,-0.1,0.5313,1,-130.1,125.0,93.6,-3.6,0.5121,0,-464.3,355.1,47.7
2025-11-01T02:14,0.6045,0.1,0.5156,1,-79.2,73.1,80.7,-0.0,0.5252,1,-132.3,127.3,88.9,-1.7,0.5127,0,-471.1,363.7,102.0
2025-11-01T02:29,0.6066,0.0,0.5090,0,-79.2,72.9,64.1,-0.0,0.5095,0,-132.4,127.4,59.2,-3.3,0.5006,0,-473.4,362.8,54.3
